"id","sex","yr","age","cgpa","bdevice","adevice","btime","atime","bdevstudy","adevstudy","bconc","aconc","bbed","abed","baffbed","aaffbed","btire","atire","socdist","isolate","personality","lazy","boredom","psycho","afford","unhealthy","covidstress","devicegpa","assgn","f2f","quiz","class"
11,"Female","Second/ Sophomore","18-24","+90","Laptop","Mobile phone","3-6","9-12","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Uncertain","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Uncertain","Disagree","Disagree","Uncertain","Agree","Strongly Disagree","Disagree",2
12,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Uncertain	","Agree	","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Agree","Strongly Agree",1
13,"Female","First/Freshman","18-24","+90","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
14,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","3-6","Uncertain","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Agree","Uncertain",3
15,"Female","Second/ Sophomore","18-24","+90","Mobile phone","Laptop","3-6","6-9","Agree","Strongly Agree","Uncertain","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree	","Agree	","Agree	","Agree	","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Agree",1
16,"Male","Second/ Sophomore","18-24","80-89","Other","Mobile phone","1-3 ","3-6","Uncertain","Agree","Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Agree","Agree	","Agree	","Agree	","Uncertain	","Agree","Agree","Agree","Agree","Agree","Agree","Uncertain","Agree","Agree",2
17,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Uncertain","Uncertain","Agree","Agree","Disagree","Agree	","Strongly Agree","Agree	","Strongly Agree","Agree","Agree","Uncertain","Agree","Agree","Agree","Agree","Uncertain",2
18,"Female","Third/Junior","18-24","+90","I pad/ Tablet","Laptop","3-6","+12","Uncertain","Strongly Agree","Disagree","Agree","Strongly Agree","Strongly Disagree","Uncertain","Strongly Agree","Disagree","Strongly Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain",3
19,"Female","Second/ Sophomore","18-24","80-89","Laptop","Mobile phone","1-3 ","6-9","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Disagree",1
20,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","6-9","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
21,"Female","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","6-9","1-3 ","Strongly Disagree","Agree","Uncertain","Uncertain","Agree","Strongly Disagree","Uncertain","Agree","Strongly Agree","Strongly Agree","Uncertain	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree",1
22,"Female","Second/ Sophomore","25-30","80-89","Mobile phone","Mobile phone","3-6","6-9","Uncertain","Agree","Agree","Agree","Agree","Agree","Uncertain","Uncertain","Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Uncertain","Agree","Strongly Agree","Agree","Agree","Agree",1
23,"Female","Fourth/Senior","18-24","80-89","Other","Laptop","3-6","6-9","Uncertain","Strongly Agree","Agree","Uncertain","Agree","Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Uncertain	","Agree	","Uncertain	","Agree	","Agree","Agree","Agree","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
24,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","Uncertain","Agree","Agree","Agree","Uncertain","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","","","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
25,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree",3
26,"Female","Third/Junior","18-24","70-79","Mobile phone","Laptop","3-6","6-9","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain",1
27,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
28,"Male","Second/ Sophomore","18-24","60-69","Mobile phone","Mobile phone","1-3 ","3-6","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Agree	","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree",1
29,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","9-12","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
30,"Female","Second/ Sophomore","18-24","+90","Laptop","Mobile phone","1-3 ","3-6","Disagree","Agree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
31,"Female","First/Freshman","18-24","80-89","Laptop","Laptop","3-6","6-9","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
32,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Personal Computer","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Agree","Uncertain","Uncertain","Disagree","Agree","Agree","Strongly Agree","Agree	","Agree	","Uncertain	","Agree	","Agree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Agree","Agree","Agree","Uncertain",2
33,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Personal Computer","6-9","9-12","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree",1
34,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","Uncertain","Disagree","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
35,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","6-9","Uncertain","Uncertain","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree	","Agree	","Agree	","Agree	","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
36,"Female","First/Freshman","18-24","+90","Mobile phone","Laptop","3-6","9-12","Uncertain","Strongly Agree","Agree","Uncertain","Agree","Strongly Disagree","Disagree","Strongly Agree","Uncertain","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Uncertain",3
37,"Female","Fourth/Senior","18-24","60-69","Laptop","Mobile phone","9-12","+12","Disagree","Strongly Agree","Uncertain","Agree","Uncertain","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Uncertain","Strongly Agree","Agree","Agree","Agree","Uncertain",2
38,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Disagree","Uncertain	","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree",1
39,"Female","First/Freshman","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","Uncertain","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
40,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","Agree","Disagree","Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree",1
41,"Female","Second/ Sophomore","18-24","60-69","Mobile phone","Mobile phone","1-3 ","3-6","Disagree","Strongly Agree","Uncertain","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
42,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","3-6","6-9","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree",1
43,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","Uncertain","Uncertain","Agree","Agree","Uncertain","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Agree	","Agree	","Uncertain	","Agree","Agree","Strongly Agree","Agree","Uncertain","Agree","Agree","Agree","Agree",2
44,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Strongly Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Uncertain",3
45,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","Uncertain","Uncertain","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Agree	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree",1
46,"Female","Second/ Sophomore","18-24","70-79","Laptop","Mobile phone","1-3 ","6-9","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree",3
47,"Male","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree",3
48,"Female","Fourth/Senior","18-24","80-89","Laptop","Laptop","1-3 ","1-3 ","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree	","Agree	","Uncertain	","Agree	","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree",1
49,"Male","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","Disagree","Agree","Uncertain","Agree","Agree","Strongly Agree","Uncertain","Strongly Agree","Agree","Strongly Agree","Disagree","Agree	","Agree	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Uncertain",2
50,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Agree	","Agree	","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree",2
51,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree",1
52,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Uncertain","Uncertain","Agree","Uncertain","Strongly Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Strongly Agree","Agree","Uncertain","Uncertain","Disagree","Disagree","Agree","Strongly Disagree",2
53,"Female","First/Freshman","+30","80-89","Laptop","Laptop","6-9","9-12","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Uncertain","Disagree","Strongly Agree","Uncertain","Strongly Agree","Agree	","Agree	","Disagree","Agree	","Agree","Strongly Agree","Agree","Uncertain","Agree","Disagree","Agree","Uncertain","Strongly Disagree",2
54,"Female","Fourth/Senior","25-30","80-89","Laptop","Laptop","1-3 ","9-12","Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Disagree","Uncertain","Strongly Agree","Disagree","Strongly Agree","Uncertain	","Uncertain	","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Uncertain","Strongly Agree","Disagree","Uncertain","Disagree","Uncertain",2
55,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain",1
56,"Female","Second/ Sophomore","18-24","+90","Mobile phone","Mobile phone","1-3 ","1-3 ","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
57,"Male","Third/Junior","18-24","70-79","Personal Computer","Personal Computer","1-3 ","3-6","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree",1
58,"Female","Second/ Sophomore","18-24","60-69","Mobile phone","Mobile phone","1-3 ","3-6","Agree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree	","Disagree","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Agree","Uncertain","Disagree",2
59,"Female","Second/ Sophomore","18-24","70-79","Other","Mobile phone","1-3 ","3-6","Uncertain","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Uncertain","Strongly Agree","Agree","Strongly Agree","Agree	","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Uncertain","Strongly Agree","Agree","Uncertain",1
60,"Male","Second/ Sophomore","18-24","70-79","Laptop","Laptop","3-6","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Strongly Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Agree	","Agree	","Agree	","Agree	","Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree",3
61,"Female","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Uncertain	","Uncertain	","Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Agree","Strongly Agree","Disagree","Disagree",2
62,"Female","First/Freshman","18-24","70-79","Mobile phone","Laptop","1-3 ","9-12","Disagree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
63,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","6-9","6-9","Uncertain","Strongly Agree","Disagree","Disagree","Agree","Agree","Uncertain","Agree","Agree","Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Agree","Strongly Agree","Agree","Uncertain","Agree","Uncertain","Strongly Agree","Agree","Disagree",2
64,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","+12","Disagree","Strongly Agree","Agree","Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
65,"Female","Second/ Sophomore","18-24","80-89","Other","Mobile phone","1-3 ","3-6","Uncertain","Strongly Agree","Uncertain","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
66,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","+12","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",3
67,"Male","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","Uncertain","Agree","Uncertain","Agree","Agree","Uncertain","Strongly Agree","Strongly Agree","Agree","Uncertain","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Strongly Agree","Uncertain","Disagree","Uncertain","Strongly Agree","Agree","Uncertain",2
68,"Female","First/Freshman","18-24","80-89","Mobile phone","Personal Computer","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Disagree","Agree","Strongly Agree","Disagree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Strongly Agree","Disagree",1
69,"Female","First/Freshman","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","Agree","Strongly Agree","Uncertain","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Uncertain","Strongly Agree","Disagree","Agree	","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
70,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","9-12","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
