"id","sex","yr","age","cgpa","bdevice","adevice","btime","atime","bdevstudy","adevstudy","bconc","aconc","bbed","abed","baffbed","aaffbed","btire","atire","socdist","isolate","personality","lazy","boredom","psycho","afford","unhealthy","covidstress","devicegpa","assgn","f2f","quiz"
25,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","2","4","4","4","4","0","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
26,"Female","Third/Junior","18-24","70-79","Mobile phone","Laptop","3-6","6-9","4","4","4","2","4","2","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2"
27,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","0","0","4","4","4","2","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4"
28,"Male","Second/ Sophomore","18-24","60-69","Mobile phone","Mobile phone","1-3 ","3-6","3","4","3","4","0","4","4","4","2","4","3","4","2","4","4","4","4","1","3","4","3","4","0"
29,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","9-12","1","1","4","3","4","1","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4"
30,"Female","Second/ Sophomore","18-24","+90","Laptop","Mobile phone","1-3 ","3-6","1","3","1","1","0","0","1","3","4","4","3","3","4","4","4","4","2","4","4","4","4","4","3"
31,"Female","First/Freshman","18-24","80-89","Laptop","Laptop","3-6","6-9","3","4","3","4","3","3","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","3"
32,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Personal Computer","1-3 ","3-6","3","4","2","3","2","2","1","3","3","4","3","3","2","3","3","4","4","2","2","3","3","3","2"
33,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Personal Computer","6-9","9-12","4","4","4","2","2","2","2","2","4","4","3","4","4","4","4","4","4","4","4","4","4","4","0"
34,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","2","1","3","3","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
35,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","6-9","2","2","3","3","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4"
36,"Female","First/Freshman","18-24","+90","Mobile phone","Laptop","3-6","9-12","2","4","3","2","3","0","1","4","2","4","3","4","4","4","4","4","4","4","4","3","4","4","2"
37,"Female","Fourth/Senior","18-24","60-69","Laptop","Mobile phone","9-12","12+","1","4","2","3","2","1","3","4","3","4","1","2","4","4","4","3","4","2","4","3","3","3","2"
38,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","0","0","4","4","3","3","4","4","4","4","3","4","1","2","4","4","3","4","4","4","2","4","4"
39,"Female","First/Freshman","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","2","3","4","4","3","1","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
40,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","3","1","3","4","3","1","1","4","3","3","4","4","3","4","4","4","3","4","4","3","4","3","3"
41,"Female","Second/ Sophomore","18-24","60-69","Mobile phone","Mobile phone","1-3 ","3-6","1","4","2","4","3","1","3","4","1","4","4","4","4","4","4","4","4","3","4","4","4","4","4"
42,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","3-6","6-9","2","4","4","4","3","3","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","1"
43,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","2","2","3","3","2","3","4","4","4","4","2","3","3","2","3","3","4","3","2","3","3","3","3"
44,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","3","4","2","4","2","0","2","4","3","4","4","3","3","4","4","4","4","3","4","4","4","3","2"
45,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","2","2","3","4","4","3","4","4","3","4","4","3","3","3","3","4","4","3","3","3","4","3","4"
46,"Female","Second/ Sophomore","18-24","70-79","Laptop","Mobile phone","1-3 ","6-9","2","4","3","4","4","0","4","4","4","4","4","4","3","4","4","4","4","3","4","4","3","4","4"
47,"Male","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","0","3","4","4","3","0","2","4","3","4","3","3","4","3","4","4","4","4","4","4","3","4","3"
48,"Female","Fourth/Senior","18-24","80-89","Laptop","Laptop","1-3 ","1-3 ","3","3","1","1","3","3","1","1","1","3","3","3","2","3","4","3","4","3","4","3","3","3","4"
49,"Male","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","1","3","2","3","3","4","2","4","3","4","1","3","3","2","3","4","4","3","3","4","3","4","2"
50,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","1","1","4","4","1","1","1","1","1","1","0","3","3","4","1","4","3","4","3","4","3","4","0"
51,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","2","2","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","0"
52,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","3","4","2","2","3","2","2","3","2","4","3","3","2","2","3","4","3","2","2","1","1","3","0"
53,"Female","First/Freshman","+30","80-89","Laptop","Laptop","6-9","9-12","3","4","3","4","3","2","1","4","2","4","3","3","1","3","3","4","3","2","3","1","3","2","0"
54,"Female","Fourth/Senior","25-30","80-89","Laptop","Laptop","1-3 ","9-12","3","4","1","1","4","1","2","4","1","4","2","2","1","4","3","4","3","2","4","1","2","1","2"
55,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","3","4","3","4","3","3","3","4","3","4","4","4","4","4","4","4","4","3","4","4","4","4","2"
56,"Female","Second/ Sophomore","18-24","+90","Mobile phone","Mobile phone","1-3 ","1-3 ","1","0","4","4","4","0","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
57,"Male","Third/Junior","18-24","70-79","Personal Computer","Personal Computer","1-3 ","3-6","2","2","4","4","3","1","4","3","3","4","4","4","4","4","4","4","4","1","4","4","4","4","0"
58,"Female","Second/ Sophomore","18-24","60-69","Mobile phone","Mobile phone","1-3 ","3-6","3","4","1","1","3","1","3","1","1","4","0","0","3","1","3","4","4","1","1","1","3","2","1"
59,"Female","Second/ Sophomore","18-24","70-79","Other","Mobile phone","1-3 ","3-6","2","4","3","3","4","3","2","4","3","4","3","4","2","4","4","4","4","3","3","2","4","3","2"
60,"Male","Second/ Sophomore","18-24","70-79","Laptop","Laptop","3-6","3-6","3","4","2","2","3","0","2","4","3","4","3","3","3","3","3","2","4","4","4","4","3","4","3"
61,"Female","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","3","4","3","4","4","4","4","4","4","4","3","4","2","2","3","4","4","2","3","3","4","1","1"
62,"Female","First/Freshman","18-24","70-79","Mobile phone","Laptop","1-3 ","9-12","1","1","3","3","4","3","3","3","4","4","3","3","2","4","4","4","3","3","4","4","4","4","4"
63,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","6-9","6-9","2","4","1","1","3","3","2","3","3","3","3","4","3","4","3","4","3","2","3","2","4","3","1"
64,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","12+","1","4","3","3","1","0","4","4","4","4","4","4","2","3","4","4","4","4","4","4","4","4","4"
65,"Female","Second/ Sophomore","18-24","80-89","Other","Mobile phone","1-3 ","3-6","2","4","2","3","3","3","3","3","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4"
66,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","12+","3","4","1","4","4","3","1","4","3","4","4","4","3","3","4","4","4","4","3","4","4","4","3"
67,"Male","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","2","3","2","3","3","2","4","4","3","2","4","4","1","1","3","3","4","2","1","2","4","3","2"
68,"Female","First/Freshman","18-24","80-89","Mobile phone","Personal Computer","1-3 ","3-6","3","4","2","1","3","4","1","3","1","4","4","4","3","4","4","3","4","4","4","2","3","4","1"
69,"Female","First/Freshman","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","3","4","2","4","3","1","1","4","2","4","1","3","1","4","4","4","4","3","4","4","4","4","4"
70,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","9-12","1","4","3","4","3","0","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
71,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","3-6","1-3 ","4","4","1","0","3","3","1","1","3","3","4","3","4","4","3","4","4","4","4","3","3","4","1"
72,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Personal Computer","1-3 ","3-6","1","4","3","3","4","3","1","4","1","4","3","4","4","4","4","4","4","3","4","3","4","4","3"
73,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Personal Computer","1-3 ","3-6","1","4","3","3","4","3","1","4","1","4","3","4","4","4","4","4","4","3","4","3","4","4","3"
74,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Personal Computer","1-3 ","3-6","1","4","3","3","4","3","1","4","1","4","3","4","4","4","4","4","4","3","4","3","4","4","3"
75,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Personal Computer","1-3 ","3-6","1","4","3","3","4","3","1","4","1","4","3","4","4","4","4","4","4","3","4","3","4","4","3"
76,"Female","First/Freshman","18-24","70-79","Laptop","Laptop","3-6","1-3 ","3","3","4","4","3","3","4","4","4","4","2","4","2","4","3","4","4","3","3","4","3","4","4"
77,"Female","First/Freshman","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","3","1","4","4","3","1","3","4","2","4","1","3","4","3","3","4","4","3","3","4","4","4","4"
78,"Male","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","2","4","2","3","3","1","2","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
79,"Male","Second/ Sophomore","18-24","60-69","Mobile phone","Mobile phone","1-3 ","1-3 ","0","0","4","4","4","4","2","2","2","2","3","4","3","4","4","4","3","4","4","4","4","4","4"
80,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","3-6","4","4","2","2","4","1","3","4","2","4","4","4","4","4","3","4","4","4","4","3","2","3","2"
81,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","3","4","1","1","3","2","3","3","3","3","1","1","1","1","2","3","3","1","1","0","1","1","0"
82,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","3","4","1","1","2","2","2","3","4","4","2","3","4","3","3","4","4","3","3","3","3","4","4"
83,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","1-3 ","12+","1","4","4","0","4","0","0","4","4","4","0","0","2","3","3","3","4","2","3","1","1","3","0"
84,"Female","First/Freshman","18-24","80-89","Mobile phone","Mobile phone","3-6","1-3 ","4","3","2","4","4","1","4","4","4","4","3","1","3","3","3","4","3","4","3","3","4","3","4"
85,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","3","4","3","1","4","0","1","4","1","4","4","4","4","3","3","4","4","4","4","4","3","4","4"
86,"Female","Third/Junior","18-24","60-69","Mobile phone","Laptop","1-3 ","9-12","1","4","2","2","3","2","1","3","1","3","3","2","1","3","3","3","4","2","2","3","4","3","3"
87,"Female","Third/Junior","18-24","60-69","Mobile phone","Laptop","1-3 ","9-12","1","4","2","2","3","2","1","3","1","3","3","2","1","3","3","3","4","2","2","3","4","3","3"
88,"Female","Third/Junior","18-24","60-69","Mobile phone","Laptop","1-3 ","9-12","1","4","2","2","3","2","1","3","1","3","3","2","1","3","3","3","4","2","2","3","4","3","3"
89,"Female","Third/Junior","18-24","60-69","Mobile phone","Laptop","1-3 ","9-12","1","4","2","2","3","2","1","3","1","3","3","2","1","3","3","3","4","2","2","3","4","3","3"
90,"Female","Third/Junior","18-24","60-69","Mobile phone","Laptop","1-3 ","9-12","1","4","2","2","3","2","1","3","1","3","3","2","1","3","3","3","4","2","2","3","4","3","3"
91,"Female","Third/Junior","18-24","60-69","Mobile phone","Laptop","1-3 ","9-12","1","4","2","2","3","2","1","3","1","3","3","2","1","3","3","3","4","2","2","3","4","3","3"
92,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","1-3 ","4","4","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4"
93,"Female","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","3","4","1","0","2","2","1","4","4","4","4","4","0","3","3","4","4","2","2","4","4","3","3"
94,"Female","Third/Junior","18-24","80-89","Laptop","Mobile phone","1-3 ","3-6","4","4","1","1","4","0","3","4","3","3","3","3","4","3","3","4","3","2","3","4","1","3","1"
95,"Male","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","6-9","3","4","3","4","3","3","3","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3"
96,"Female","Other","18-24","80-89","Personal Computer","Personal Computer","9-12","6-9","3","2","1","1","2","2","3","3","4","4","3","3","1","2","2","3","3","2","2","2","3","2","3"
97,"Female","Fourth/Senior","18-24","80-89","Laptop","Laptop","1-3 ","6-9","1","4","3","3","4","1","1","3","3","4","3","4","4","4","4","4","4","3","4","4","4","4","2"
98,"Female","Other","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","3","4","1","1","3","1","1","3","1","4","4","4","3","2","3","4","3","1","2","2","3","3","3"
99,"Female","Third/Junior","18-24","70-79","Mobile phone","Laptop","3-6","6-9","3","4","4","4","3","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
100,"Female","Fourth/Senior","18-24","+90","Mobile phone","Laptop","1-3 ","3-6","3","4","1","1","1","1","3","3","3","3","3","3","3","3","3","3","4","2","4","4","1","3","1"
101,"Female","Fourth/Senior","18-24","80-89","Personal Computer","Personal Computer","1-3 ","6-9","1","3","1","1","3","2","3","3","4","4","3","3","1","3","4","3","4","4","4","3","2","3","4"
102,"Female","Second/ Sophomore","18-24","80-89","I pad/ Tablet","I pad/ Tablet","1-3 ","6-9","3","4","1","1","4","1","1","3","4","4","3","3","2","2","4","4","4","2","2","4","4","3","4"
103,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","6-9","12+","3","3","2","1","4","0","2","2","4","4","4","4","3","3","4","4","4","4","4","4","3","4","4"
104,"Male","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","3","3","2","0","4","0","3","3","3","4","3","4","3","4","4","4","4","1","3","3","3","2","0"
105,"Male","First/Freshman","18-24","80-89","Mobile phone","Laptop","3-6","3-6","3","3","2","2","3","3","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
106,"Male","Fourth/Senior","25-30","60-69","Mobile phone","Mobile phone","1-3 ","3-6","2","3","4","4","3","4","3","4","3","3","2","3","3","3","2","3","3","3","3","3","3","3","3"
107,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","1-3 ","4","4","3","2","1","1","4","4","2","1","4","1","1","2","1","4","4","1","3","0","1","1","4"
108,"Female","Third/Junior","18-24","70-79","Mobile phone","Laptop","1-3 ","3-6","2","4","1","1","3","1","2","3","3","2","4","3","2","3","2","3","4","2","3","2","2","3","0"
109,"Female","Second/ Sophomore","18-24","70-79","Laptop","Laptop","1-3 ","3-6","3","3","3","4","4","1","1","4","3","4","3","4","1","4","4","4","3","2","4","3","4","4","4"
110,"Female","Third/Junior","18-24","70-79","Mobile phone","Laptop","1-3 ","3-6","2","3","2","3","3","3","1","1","1","3","1","1","4","4","4","4","4","2","4","4","4","4","4"
111,"Female","First/Freshman","18-24","+90","Mobile phone","Mobile phone","3-6","6-9","2","4","4","4","4","0","4","4","2","4","2","2","0","4","4","4","4","3","4","4","4","4","4"
112,"Male","First/Freshman","18-24","80-89","Mobile phone","Mobile phone","1-3 ","9-12","2","4","1","0","4","0","1","4","4","4","3","4","4","4","4","1","4","4","4","4","4","4","4"
113,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","1-3 ","2","4","3","1","4","0","3","4","4","4","4","1","1","2","1","4","2","1","1","1","1","3","1"
114,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","9-12","2","4","3","1","4","1","2","4","3","4","4","4","4","4","4","3","2","3","4","3","4","3","3"
115,"Male","First/Freshman","+30","+90","Laptop","Laptop","1-3 ","6-9","3","3","1","1","4","4","4","4","1","1","4","4","4","2","1","4","3","2","1","2","1","3","2"
116,"Male","Fourth/Senior","18-24","70-79","Mobile phone","Other","1-3 ","3-6","3","4","2","4","4","1","2","4","2","4","4","4","3","4","4","4","2","2","4","4","4","3","2"
117,"Female","Other","18-24","80-89","Laptop","Laptop","1-3 ","1-3 ","2","2","2","2","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
118,"Female","Other","18-24","80-89","Mobile phone","Personal Computer","1-3 ","1-3 ","4","4","1","1","2","1","2","1","1","1","2","3","2","3","3","3","3","3","3","3","2","4","4"
119,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","3-6","6-9","3","4","3","4","4","1","4","1","3","4","3","4","4","4","4","4","4","4","4","3","4","4","4"
120,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","3-6","6-9","3","4","3","4","4","1","4","1","3","4","3","4","4","4","4","4","4","4","4","3","4","4","4"
121,"Female","Other","18-24","80-89","Mobile phone","Mobile phone","3-6","1-3 ","1","4","4","4","4","1","1","4","4","4","4","3","4","4","4","4","4","3","4","4","4","4","3"
122,"Female","Third/Junior","18-24","+90","Mobile phone","Laptop","3-6","6-9","3","4","3","3","2","0","3","4","4","4","4","4","4","3","4","4","4","3","3","4","4","4","4"
123,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","3","4","2","2","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
124,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","6-9","9-12","4","4","1","1","3","3","2","2","3","3","0","3","3","3","2","4","4","2","3","2","2","4","3"
125,"Female","Fourth/Senior","18-24","60-69","Mobile phone","Laptop","1-3 ","3-6","2","3","3","3","3","1","2","3","2","3","3","3","3","4","4","4","3","4","4","3","4","3","3"
126,"Female","Other","18-24","80-89","Laptop","Laptop","1-3 ","1-3 ","4","4","3","3","1","1","2","2","3","3","2","1","2","3","3","3","4","2","3","3","3","3","3"
127,"Male","Second/ Sophomore","18-24","80-89","Laptop","Laptop","1-3 ","6-9","1","3","4","3","3","0","1","3","3","4","3","3","4","3","3","4","4","2","4","3","2","4","4"
128,"Male","First/Freshman","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","3","4","3","4","3","4","2","4","3","4","3","2","3","3","3","4","4","2","3","3","3","4","3"
129,"Female","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","3-6","9-12","3","3","4","4","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
130,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","3-6","3-6","4","4","1","1","3","2","4","4","4","4","4","4","1","3","3","4","1","1","3","2","3","2","3"
131,"Female","Third/Junior","25-30","+90","Other","I pad/ Tablet","1-3 ","6-9","1","4","2","1","3","3","1","1","1","3","1","1","1","1","3","3","3","1","1","2","1","4","2"
132,"Female","Fourth/Senior","18-24","60-69","Mobile phone","Mobile phone","3-6","3-6","4","4","2","2","2","2","1","1","2","2","4","1","2","3","2","2","3","2","2","2","2","3","1"
133,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","3","4","2","1","4","0","0","4","2","4","4","4","4","2","4","4","4","2","4","2","4","4","4"
134,"Female","Second/ Sophomore","+30","+90","Other","Mobile phone","1-3 ","6-9","2","2","3","3","3","1","1","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3"
135,"Female","First/Freshman","25-30","+90","Laptop","Laptop","1-3 ","3-6","1","3","4","4","3","1","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2"
136,"Male","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","3-6","3-6","3","2","3","3","2","2","3","1","3","4","4","3","4","4","4","4","4","4","4","4","3","4","3"
137,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","6-9","3","4","4","4","4","1","1","4","1","4","4","3","4","4","4","4","4","4","4","4","4","4","2"
138,"Female","Fourth/Senior","+30","80-89","Mobile phone","Mobile phone","3-6","6-9","3","4","1","1","3","1","2","2","3","3","1","1","1","4","3","4","3","1","4","3","4","4","4"
139,"Female","Third/Junior","18-24","+90","Other","Laptop","1-3 ","3-6","0","3","4","3","1","0","2","3","4","4","1","2","3","1","3","3","3","3","1","4","3","3","3"
140,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","3","3","0","0","2","2","2","2","3","3","4","4","3","3","2","4","4","2","2","4","1","4","2"
141,"Female","Third/Junior","18-24","70-79","Mobile phone","Laptop","1-3 ","9-12","1","3","1","1","4","1","1","3","1","4","3","3","3","1","3","3","3","2","3","4","4","3","1"
142,"Male","Third/Junior","18-24","70-79","Mobile phone","Laptop","3-6","6-9","3","4","1","1","3","3","4","4","4","4","4","4","4","4","3","4","4","3","4","4","4","4","4"
143,"Female","First/Freshman","18-24","+90","Mobile phone","Mobile phone","6-9","9-12","3","4","2","3","4","1","4","4","4","4","3","3","3","3","3","3","3","4","4","4","3","4","3"
144,"Female","Other","25-30","80-89","Laptop","Laptop","1-3 ","1-3 ","4","4","0","0","3","2","1","1","3","3","4","3","4","2","2","2","3","2","2","3","1","4","0"
145,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","3-6","9-12","1","3","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
146,"Female","Fourth/Senior","+30","80-89","Mobile phone","Mobile phone","3-6","6-9","3","3","3","4","3","1","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4"
147,"Female","Second/ Sophomore","18-24","+90","Mobile phone","Mobile phone","1-3 ","3-6","3","4","1","4","3","0","2","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
148,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","3-6","3-6","4","4","1","1","3","2","2","2","3","3","3","3","2","2","3","3","3","2","2","2","2","2","2"
149,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","3-6","6-9","2","4","3","2","2","2","4","4","3","4","3","3","2","2","3","3","3","3","3","3","2","3","3"
150,"Female","Second/ Sophomore","+30","+90","Laptop","Laptop","1-3 ","9-12","1","2","3","4","4","3","4","4","4","4","4","4","3","4","4","4","4","4","4","4","3","4","4"
151,"Female","First/Freshman","18-24","80-89","Mobile phone","Laptop","3-6","12+","3","4","1","4","4","0","2","4","3","4","2","4","2","3","4","4","3","4","3","4","4","4","4"
