"sex","yr","age","cgpa","bdevice","adevice","devuse.score","sleep.score","social.score","psych.score","acad.score","class"
"0","2","0","1","1","0",3,2,12,14,7,2
"0","1","0","1","0","0",2,7,12,17,15,3
"0","2","0","1","1","0",3,2,10,18,16,1
"0","0","0","3","1","1",3,6,8,19,16,1
"1","0","0","2","1","1",4,7,15,17,16,3
"0","2","0","2","1","0",-1,5,8,9,6,2
"0","3","0","1","1","1",3,6,16,16,13,3
"1","0","2","3","0","0",2,0,14,11,8,2
"1","3","0","1","1","4",4,7,15,16,13,3
"0","4","0","2","0","0",0,0,8,10,8,2
"0","4","0","2","1","3",0,0,10,15,13,2
"0","3","0","2","1","0",3,1,15,20,15,1
"0","3","0","2","1","0",3,1,15,20,15,1
"0","4","0","2","1","1",2,6,15,19,15,3
"0","2","0","3","1","0",2,3,15,18,16,1
"0","1","0","1","1","0",3,3,16,20,16,1
"0","1","0","1","1","0",1,0,9,15,11,2
"0","3","0","0","1","0",2,4,13,19,13,1
"0","4","0","2","0","0",0,0,8,15,12,2
"1","1","0","2","0","0",3,6,13,17,13,3
"1","0","0","2","1","0",3,2,11,16,13,2
"0","2","0","2","1","1",2,1,16,20,16,1
"0","1","0","1","1","1",0,1,12,12,10,2
"0","2","1","3","4","2",4,2,4,11,9,2
"0","3","0","0","1","1",0,0,10,11,8,2
"0","1","0","1","1","1",1,10,14,18,14,3
"0","1","2","3","4","1",2,5,13,15,12,2
"0","0","1","3","0","0",3,3,16,20,14,1
"1","2","0","1","1","1",-1,-1,15,20,14,1
"0","1","0","2","1","1",3,9,15,20,14,3
"0","3","2","2","1","1",2,2,7,15,15,2
"0","2","0","3","4","0",3,2,7,13,13,2
"0","3","0","2","1","0",1,0,14,14,11,2
"0","2","0","1","1","0",5,8,10,14,12,3
"1","2","0","1","1","0",2,0,16,18,16,1
"0","0","0","3","1","1",3,3,12,17,14,1
"0","4","1","2","0","0",0,1,13,11,8,2
"0","1","0","1","1","1",4,2,16,20,16,1
"0","3","2","2","1","1",2,2,14,20,16,1
"0","1","0","3","1","1",5,6,16,20,16,3
"0","2","0","2","0","0",0,1,10,13,8,2
"0","2","0","2","0","0",2,1,10,15,11,2
"0","1","2","3","0","0",5,1,15,20,15,1
"0","0","0","2","1","0",7,7,11,18,16,3
"0","3","0","1","1","0",3,8,16,19,15,3
"1","2","0","1","1","1",-1,5,15,17,14,1
"1","4","1","0","1","1",2,-1,15,20,16,1
"0","0","0","2","0","1",0,0,13,15,14,2
"0","2","0","1","1","1",4,3,15,20,15,1
"0","3","0","1","1","1",1,3,16,20,15,1
"0","3","0","2","4","0",5,7,13,20,16,3
"1","1","0","1","1","1",1,1,10,12,11,2
"0","0","0","2","1","0",4,3,14,18,14,1
"0","3","1","3","1","1",2,1,13,16,12,2
"0","0","2","3","4","4",2,1,11,12,9,2
"0","1","2","2","1","0",1,2,10,17,14,2
"1","1","1","2","1","1",0,1,13,18,14,1
"0","2","0","0","1","1",0,0,6,15,13,2
"0","2","0","2","1","3",5,4,12,19,16,1
"0","3","0","1","0","0",1,3,10,13,7,2
"0","3","0","3","1","0",7,8,15,19,14,3
"0","1","0","1","1","0",1,3,13,20,11,1
"0","2","0","0","1","1",-1,0,11,17,12,2
"0","3","0","2","0","0",6,7,15,19,15,3
"0","1","0","3","1","0",2,4,15,20,16,1
"0","2","0","1","1","1",0,2,15,20,16,1
"0","2","0","2","1","1",3,0,10,20,16,1
"0","3","0","1","0","0",5,8,14,18,11,3
"0","3","0","1","1","0",1,6,14,18,16,1
"0","3","0","1","1","0",1,6,14,18,16,1
"0","3","0","1","1","0",3,5,11,14,10,2
"1","1","0","1","4","1",2,0,8,14,11,2
"0","1","0","0","1","0",3,1,12,15,12,2
"0","4","0","2","1","0",2,0,15,18,12,1
"1","3","0","1","1","1",5,5,16,20,16,3
"1","3","0","3","0","0",2,0,15,14,7,2
"0","0","0","1","1","1",1,8,15,18,16,3
"0","3","0","Below 60","1","1",3,5,15,19,13,3
"0","1","0","3","1","3",0,3,9,19,16,1
"0","3","0","Below 60","1","1",2,0,9,14,7,2
"0","4","0","2","1","1",-3,2,14,19,14,1
"0","3","2","3","1","1",4,0,13,15,14,2
"0","0","0","3","1","2",4,2,14,20,13,1
"1","3","0","0","0","0",1,0,16,18,16,1
"0","4","1","1","0","1",2,4,6,13,9,2
"1","3","0","1","4","0",2,3,10,16,8,2
"0","1","0","2","1","1",0,2,16,20,16,1
"0","1","0","2","0","0",0,0,8,12,3,2
"0","0","1","2","1","1",5,0,15,18,14,1
"1","2","0","1","0","0",5,7,14,19,15,3
"0","3","1","3","1","1",3,7,12,16,10,3
"0","1","0","2","4","0",8,8,6,18,14,3
"0","3","0","1","2","0",1,2,9,19,8,2
"0","3","0","3","1","0",4,3,16,20,16,1
"0","2","0","1","0","0",5,7,9,15,3,2
"0","0","0","1","1","1",4,2,15,20,15,1
"1","2","1","2","2","2",0,0,9,11,12,2
"0","0","0","2","0","0",4,0,11,13,9,2
"0","0","0","2","4","2",4,7,15,20,12,3
"1","2","0","2","1","1",3,8,16,20,16,3
"0","1","0","1","1","1",1,2,12,16,11,2
"0","1","0","2","4","0",4,7,16,18,16,3
"0","0","0","1","0","0",5,7,13,18,15,3
"0","2","0","1","0","0",5,9,13,19,4,3
"0","3","0","1","4","3",2,1,15,19,16,1
"0","3","0","2","4","0",5,3,14,20,13,1
"1","2","0","0","0","0",5,9,16,20,16,3
"0","0","0","3","4","1",4,1,10,14,8,2
"1","1","0","3","3","3",3,6,14,20,15,3
"1","3","0","1","1","1",3,3,16,20,15,1
"1","2","1","0","1","1",2,0,7,12,7,2
"0","0","0","2","1","1",1,6,15,20,16,1
"0","1","0","1","1","1",1,0,12,10,8,2
"1","1","0","1","4","1",5,2,14,16,15,1
"0","1","2","3","1","1",-1,0,8,12,9,2
"0","2","0","1","1","1",1,1,16,20,16,1
"0","2","0","2","1","0",3,1,10,19,15,1
"0","1","1","3","0","0",5,5,14,16,11,3
"0","0","0","2","0","1",2,3,14,20,16,1
"0","0","0","1","0","0",-1,3,16,20,16,1
"0","3","0","1","1","0",5,6,15,19,15,3
"0","2","1","2","1","0",3,10,14,18,16,3
"0","0","0","3","0","0",3,5,8,16,12,2
"0","0","0","3","4","4",0,0,15,15,11,2
"0","1","0","1","1","0",1,5,16,19,12,3
"0","2","2","2","1","1",2,-1,6,15,7,2
"0","2","0","2","1","0",5,9,14,16,13,3
"0","2","0","2","1","1",2,5,11,16,11,2
"0","2","0","3","0","0",-1,1,10,12,10,2
"1","1","1","0","1","1",3,2,12,15,12,2
"0","1","0","2","1","0",2,3,12,17,12,2
"0","4","0","3","2","2",-1,0,13,16,13,2
"1","1","0","1","4","0",1,-1,12,16,11,2
"0","3","0","2","1","0",5,5,11,17,12,3
"0","1","0","2","1","0",1,2,11,19,13,1
"1","1","0","2","0","0",4,2,12,19,14,1
"0","1","1","1","0","0",4,6,11,13,12,2
"0","1","1","1","0","0",4,6,11,13,12,2
"0","3","0","2","0","0",2,8,13,15,16,3
"0","0","2","3","1","1",0,0,14,20,16,1
"0","1","0","2","1","0",3,0,8,11,3,2
"0","1","0","3","0","0",-3,0,15,19,13,1
"0","1","0","2","1","0",7,4,14,18,16,3
"0","3","1","0","1","1",6,6,11,14,5,2
"0","1","0","1","1","1",0,3,16,20,16,1
"0","3","0","2","4","0",2,4,13,19,14,1
"0","1","1","2","0","0",1,3,10,20,16,1
"1","0","0","2","0","0",0,0,10,14,12,2
"0","2","0","1","0","1",5,3,12,17,13,1
"0","0","0","2","1","0",1,0,12,16,16,1
"0","4","2","1","0","1",3,4,12,19,15,1
"0","1","0","3","0","0",1,4,4,11,12,2
"0","3","0","2","1","0",0,4,12,18,12,1
"0","3","2","3","1","1",3,3,12,18,14,1
"1","4","0","0","1","0",8,2,14,20,16,1
"0","1","0","1","0","0",3,0,16,17,13,1
"1","4","0","0","1","0",2,6,14,18,10,3
"0","2","0","1","1","1",0,4,16,17,12,1
"0","2","0","1","1","0",2,0,12,13,10,2
"0","3","0","2","1","1",0,8,16,20,13,3
"0","3","0","2","1","1",0,8,16,20,13,3
"0","1","0","3","2","2",4,-1,16,18,12,1
"0","2","0","1","1","0",3,0,15,20,16,1
"1","4","0","0","4","1",4,5,16,19,14,3
"0","1","0","3","0","1",2,4,12,20,16,1
"0","3","0","1","4","0",2,5,16,19,14,3
"0","0","2","3","4","0",4,3,13,19,14,1
"0","2","0","2","0","0",7,3,16,20,16,3
"0","1","0","3","0","1",2,3,11,13,9,2
"0","0","0","2","1","0",0,-1,5,10,4,2
"0","0","0","3","0","0",5,8,15,18,11,3
"0","0","0","1","4","4",0,0,13,20,15,1
"0","2","0","2","1","1",0,6,12,16,14,1
"0","2","0","1","0","0",2,0,16,20,16,1
"0","2","0","0","1","1",1,0,11,20,16,1
"0","1","1","2","1","1",0,0,3,6,1,2
"0","1","0","1","0","0",2,7,16,20,13,3
"0","3","0","0","1","2",1,3,11,15,12,2
"0","4","2","1","1","0",5,6,15,20,14,3
"0","0","0","3","1","1",2,1,11,15,10,2
"0","0","0","0","1","0",3,3,15,20,16,1
"0","3","1","2","1","1",2,6,15,18,16,3
"1","2","0","1","3","3",5,7,16,19,13,3
"0","3","0","1","1","1",7,11,16,20,9,3
"0","3","0","1","1","0",4,7,15,20,16,3
"1","4","1","0","1","1",5,7,14,19,13,3
"1","2","0","3","1","0",5,6,16,17,15,3
"0","2","0","2","1","0",5,9,15,17,14,3
"0","2","0","0","1","1",4,4,14,20,14,1
"1","2","0","2","1","0",6,6,16,20,13,3
"0","1","0","1","4","0",2,6,15,20,16,3
"0","3","0","2","0","0",1,-1,6,11,5,2
"0","1","0","2","1","0",-1,2,12,19,14,1
"1","2","0","0","1","0",6,7,14,18,15,3
"0","1","0","2","1","0",3,5,12,13,9,2
"0","4","1","1","0","1",0,0,14,17,10,2
"0","3","1","3","1","1",3,0,9,14,11,2
"0","2","2","3","1","0",6,0,16,18,8,2
"0","2","0","2","1","1",0,0,6,12,9,2
"0","2","0","0","1","0",-1,0,5,7,1,2
"0","3","0","2","0","0",5,9,16,19,16,3
"0","0","0","2","1","1",1,0,14,18,12,1
"0","1","0","1","1","0",4,3,12,16,12,2
"0","3","0","1","1","1",1,6,16,20,15,3
"1","2","0","0","0","0",-2,5,12,16,10,2
"0","0","0","2","1","0",-2,-1,12,15,9,2
"0","4","0","2","0","1",1,1,14,17,10,2
"0","2","0","1","0","0",4,5,13,20,16,1
"0","3","0","1","1","0",5,8,13,15,7,3
"0","0","2","1","1","0",1,6,15,17,8,3
"0","3","0","1","1","1",2,3,14,19,16,1
"1","3","1","1","1","0",10,6,16,18,10,3
"0","0","0","2","2","1",6,4,15,19,15,3
"0","0","1","2","1","1",3,4,11,17,9,2
"1","3","0","2","0","0",2,1,13,13,8,2
"0","3","0","2","1","1",1,2,7,12,9,2
"0","3","0","1","0","0",4,4,15,18,15,1
"0","2","0","1","1","1",5,9,16,20,16,3
"0","3","0","2","1","1",2,5,14,18,14,1
"0","3","0","0","1","0",2,0,12,15,14,2
"0","3","0","1","4","0",5,2,14,15,11,2
"0","4","0","2","0","0",5,6,15,20,16,3
"1","2","0","0","4","0",2,5,14,20,16,1
"0","2","0","1","1","1",2,2,10,13,7,2
"0","0","0","1","4","0",3,8,16,20,15,3
"0","4","1","Below 60","1","1",0,0,16,20,14,1
"1","3","0","0","0","1",2,7,13,17,14,3
"0","3","0","0","0","0",1,1,12,15,12,2
"1","2","1","0","1","0",2,-1,16,20,12,1
"0","0","0","1","0","0",0,3,8,17,14,2
"0","1","0","1","1","0",7,4,16,20,16,3
"0","3","2","0","1","1",4,7,12,18,16,3
"0","3","0","2","1","0",5,5,13,16,13,3
"0","0","0","1","0","0",4,2,10,15,13,2
"0","2","0","3","1","1",1,4,9,15,9,2
"1","3","0","1","4","0",1,6,15,18,11,3
"0","0","0","2","1","1",5,5,16,18,15,3
"1","4","0","1","0","0",0,1,16,18,10,2
"0","2","0","1","1","0",2,9,14,20,15,3
"0","2","0","2","0","0",7,3,16,20,12,3
"0","2","0","2","1","1",7,4,14,19,14,3
"0","1","0","2","1","0",5,5,16,20,16,3
"0","2","0","2","1","0",5,6,16,18,12,3
"0","4","0","2","4","0",3,10,10,16,11,3
"1","3","0","1","1","0",0,0,14,17,16,1
"0","0","0","2","0","0",2,6,16,19,16,3
"1","2","0","0","0","0",1,4,16,20,12,1
"0","3","0","2","1","0",4,5,13,17,16,1
"0","1","1","2","1","1",3,0,10,15,10,2
"0","2","0","3","2","2",0,0,10,15,15,2
"0","1","0","2","0","0",7,9,16,18,16,3
"0","2","0","1","4","1",6,6,16,20,16,3
"1","2","0","0","1","1",0,0,13,20,15,1
"0","3","0","2","1","1",0,1,16,19,15,1
"0","4","0","0","4","2",3,1,11,19,13,1
"0","1","0","3","0","0",2,3,12,13,11,2
"0","2","0","1","0","0",5,6,14,18,13,3
"0","1","0","1","1","1",0,0,12,13,10,2
"1","0","0","2","0","0",0,2,15,19,16,1
"0","2","0","0","1","1",4,0,13,20,16,1
"0","1","0","2","0","0",3,1,10,18,7,2
"1","1","0","1","1","0",6,5,14,19,16,3
"1","1","0","2","2","0",5,5,15,19,15,3
"0","2","0","3","4","1",3,2,16,20,16,1
"1","3","0","1","0","0",3,1,14,16,13,1
"0","1","0","1","1","1",0,3,13,19,16,1
"0","1","1","2","1","1",2,1,16,20,16,1
"0","0","0","3","1","0",3,4,12,20,16,1
"0","2","0","1","1","0",4,7,13,20,11,3
"0","1","0","3","4","1",6,10,15,20,16,3
"0","3","0","1","1","0",6,5,15,20,15,3
"0","2","0","2","4","1",-1,-2,10,19,14,2
"0","1","0","1","1","1",0,-1,12,15,12,2
"1","1","0","1","1","0",7,2,14,17,15,1
"1","1","0","1","1","0",5,0,14,18,14,1
"1","1","0","0","1","0",-1,2,14,16,13,1
"1","1","0","2","1","1",1,3,13,20,14,1
"1","1","0","2","1","1",0,-1,10,15,10,2
"0","0","0","2","2","2",3,5,12,20,16,1
"0","0","0","0","1","0",6,6,14,19,16,3
"0","1","0","0","1","1",6,0,16,20,8,2
"0","1","0","1","1","0",3,10,16,19,16,3
"1","3","0","1","1","0",6,6,15,17,15,3
"1","2","0","1","1","1",4,9,16,20,12,3
"1","3","0","1","1","0",5,8,16,19,15,3
"1","3","2","2","1","1",3,1,16,20,12,1
"0","0","0","0","1","1",3,7,14,17,14,3
"0","2","2","2","0","0",-1,1,14,17,12,2
"0","1","0","1","4","1",7,2,11,20,16,1
"1","3","0","1","1","0",7,5,15,19,15,3
"1","1","0","1","1","0",6,6,15,19,15,3
"1","2","0","1","2","0",5,1,16,17,15,1
"1","2","0","0","2","0",6,6,15,19,15,3
"0","0","0","1","4","0",6,6,13,19,12,3
"1","3","0","0","0","0",0,-1,11,12,1,2
"0","3","0","3","1","1",3,5,13,20,16,1
"0","1","0","3","1","0",5,5,10,17,14,3
"0","3","0","0","1","1",0,0,12,15,9,2
"1","0","0","1","1","1",0,0,0,11,13,2
"0","1","0","2","1","0",4,3,16,20,16,1
"1","1","0","0","1","0",-1,5,16,20,16,1
"0","0","0","2","0","0",5,2,15,20,16,1
"0","2","0","1","0","3",5,-4,0,5,0,2
"0","0","0","2","2","0",5,8,13,20,15,3
"0","1","0","3","0","1",2,7,12,20,16,3
"0","2","0","1","1","1",-2,-3,12,16,15,2
"1","1","0","0","1","0",2,5,14,20,16,1
"1","0","1","2","1","1",-1,1,10,15,12,2
"1","2","0","1","0","0",1,-2,12,16,16,1
"0","2","0","3","0","0",4,1,15,19,11,1
"1","2","0","3","0","0",1,0,10,14,5,2
"0","1","0","1","1","0",2,7,14,17,13,3
"0","1","0","2","1","1",1,2,10,15,12,2
"0","1","0","2","0","1",-1,3,12,15,12,2
"0","1","0","1","0","0",2,0,12,20,16,1
"0","4","0","1","0","0",1,0,6,9,13,2
"0","3","0","2","0","0",4,5,12,20,14,3
"0","1","0","2","1","1",5,4,6,13,6,2
"1","1","0","2","4","0",-1,10,15,19,15,3
"0","1","0","2","1","2",1,5,12,16,12,2
"0","1","1","1","1","0",3,1,16,20,16,1
"0","1","1","1","1","0",1,4,16,20,16,1
"0","1","0","0","0","1",0,0,14,20,16,1
"0","1","0","3","1","0",1,3,13,19,16,1
"0","0","0","1","0","0",1,1,11,19,16,1
"0","3","0","2","1","1",0,1,16,20,16,1
"0","2","0","2","1","1",3,4,16,20,16,1
"0","3","0","2","1","0",0,1,12,19,16,1
"0","3","1","1","1","1",0,0,15,20,16,1
"0","0","0","2","1","0",3,2,14,20,16,1
"0","3","0","1","1","2",3,5,13,19,12,3
"0","3","0","2","4","0",2,-1,16,18,15,1
"0","3","0","3","2","2",0,0,12,17,14,1
"0","2","0","3","1","1",0,4,3,13,12,2
"1","0","0","3","1","0",2,1,12,16,12,2
"0","1","0","2","1","1",1,1,16,18,12,1
"1","1","0","1","1","1",2,4,14,18,15,1
"0","0","0","2","1","0",5,10,15,17,13,3
"0","0","0","3","0","0",2,4,14,15,13,1
"0","1","0","1","1","1",1,3,14,18,14,1
"0","2","0","2","0","1",4,3,10,15,10,2
"0","1","0","3","0","0",4,6,11,15,7,2
"1","2","0","1","2","0",6,7,14,16,14,3
"0","1","0","2","0","0",2,7,11,15,9,2
"0","1","0","2","0","0",2,7,15,19,15,3
"0","1","0","2","0","0",0,0,14,16,12,2
"0","1","0","2","0","0",0,0,10,15,12,2
"0","1","0","3","0","0",2,5,14,18,9,3
"1","1","0","2","1","1",3,2,10,16,12,2
"0","1","0","2","0","0",-3,-3,15,13,7,2
"1","3","0","2","4","1",3,-1,7,13,10,2
"1","3","1","2","0","1",1,0,11,20,16,1
"1","0","0","1","4","1",0,2,15,16,14,1
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","2","0","2","0","0",2,2,10,17,11,2
"0","1","0","2","1","1",3,3,8,10,7,2
"0","2","0","3","1","0",2,3,14,19,15,1
"0","2","0","2","4","0",4,2,10,17,10,2
"0","2","0","2","0","0",6,5,16,20,16,3
"0","4","0","1","0","0",1,2,13,19,16,1
"0","2","0","2","0","0",4,8,12,17,7,3
"0","0","0","3","1","1",6,6,14,19,14,3
"1","2","0","1","0","1",3,3,12,15,12,2
"0","3","0","1","0","0",1,5,10,15,13,2
"1","2","0","1","1","1",2,3,15,20,16,1
"0","3","0","1","1","1",2,2,15,20,15,1
"0","3","0","1","1","1",2,2,15,20,15,1
"1","2","0","0","1","0",2,2,16,19,14,1
"1","2","0","1","1","1",-1,0,14,16,15,1
"1","2","0","0","1","1",0,0,14,17,15,1
"0","1","0","2","1","1",2,7,15,18,15,3
"1","1","0","1","2","0",6,7,15,18,16,3
"1","1","0","1","2","0",7,6,14,18,14,3
"1","3","1","0","1","2",-1,0,11,14,13,2
"1","0","0","2","1","1",2,0,10,13,9,2
"1","1","2","3","1","1",-1,0,16,20,16,1
"1","3","2","1","2","2",2,0,15,18,15,1
"0","1","0","2","0","0",5,6,13,18,14,3
"0","2","0","0","1","4",-4,-1,7,10,8,2
"1","2","0","1","1","0",6,6,15,19,15,3
"0","2","0","2","1","0",3,0,8,8,12,2
"0","2","0","2","1","1",0,-2,13,19,12,2
"0","3","0","2","3","1",3,1,16,17,12,1
"1","0","0","0","1","1",0,0,16,20,16,1
"1","1","0","1","1","1",2,6,13,17,16,1
"0","1","0","1","0","0",2,-1,14,19,14,1
"1","3","1","2","0","1",1,0,6,15,12,2
"0","2","0","2","1","0",5,2,16,20,16,1
"0","2","0","2","1","1",0,0,12,18,11,2
"0","4","0","2","4","0",0,4,11,20,14,1
"0","3","0","2","0","0",3,7,14,18,14,3
"0","3","0","0","4","0",2,2,16,18,13,1
"0","0","0","2","0","1",2,4,14,17,12,1
"0","2","0","2","0","0",3,8,16,20,11,3
"0","4","0","1","0","4",1,0,10,18,12,2
"0","1","0","2","4","1",4,5,14,20,16,3
"0","2","0","2","0","0",2,0,5,11,7,2
"0","3","0","0","1","0",0,1,16,20,16,1
"0","3","0","1","1","0",1,0,12,15,12,2
"0","3","0","2","1","1",4,4,15,18,13,3
"1","3","0","1","0","1",3,8,15,14,11,3
"1","1","0","2","1","1",2,2,10,13,6,2
"0","3","0","3","1","0",7,9,12,14,12,3
"0","3","0","2","1","1",3,1,9,20,12,2
"0","2","0","2","0","0",1,1,16,20,16,1
"0","3","1","3","1","1",2,6,15,20,15,3
"0","4","0","1","1","1",4,7,16,20,14,3
"0","4","0","3","1","0",0,2,14,20,15,1
"0","1","0","1","1","0",3,4,16,20,16,1
"0","0","0","3","0","0",3,2,16,20,16,1
"0","2","0","1","0","0",3,4,14,15,12,2
"1","3","0","2","4","1",-1,3,12,18,15,1
"1","3","0","1","0","0",0,0,12,15,12,2
"0","4","0","1","1","1",3,4,15,18,13,1
"0","1","0","2","1","1",0,0,16,20,16,1
"0","2","0","2","2","1",4,6,12,20,15,3
"0","1","0","3","1","1",3,5,12,15,11,2
"0","0","1","1","1","1",4,4,16,20,16,1
"0","3","0","2","1","1",-2,0,6,16,14,2
"0","2","0","1","0","0",3,2,15,19,16,1
"0","3","0","2","1","1",1,0,13,18,13,1
"0","4","0","3","1","1",4,1,14,18,11,2
"0","3","0","1","1","1",0,2,16,18,14,1
"0","3","0","3","1","1",3,4,11,15,9,2
"0","2","0","1","1","1",2,2,11,18,12,2
"0","2","0","2","1","2",3,2,13,17,9,2
"0","1","0","2","1","1",0,6,13,19,15,1
"0","2","0","2","4","1",4,3,13,19,12,1
"1","3","0","1","1","1",2,0,11,18,14,1
"0","4","0","1","1","1",0,0,13,18,14,1
"0","3","0","3","4","1",5,3,12,20,15,1
"0","2","0","1","4","1",3,4,14,16,14,1
"0","2","0","1","1","1",3,3,16,20,16,1
